CODE_DEP,Année,Espérance_Vie_Homme,Espérance_Vie_Femme
32,2006,78.2,84.2
32,2007,79.1,84.8
32,2008,79.2,85.4
32,2009,78.0,84.4
32,2010,79.2,84.2
32,2011,80.1,85.0
32,2012,79.7,84.5
32,2013,79.3,85.3
32,2014,79.4,85.5
32,2015,80.5,84.3
32,2016,79.2,85.9
32,2017,79.3,85.8
32,2018,79.4,85.4
32,2019,79.6,85.8
32,2020,80.4,85.5
32,2021,79.9,85.5
32,2022,79.9,85.7
33,2000,75.7,83.2
33,2001,75.5,83.5
33,2002,76.1,83.5
33,2003,76.2,83.4
33,2004,77.3,84.2
33,2005,77.1,84.2
33,2006,77.5,84.7
33,2007,77.8,84.8
33,2008,78.2,84.8
33,2009,78.1,84.9
33,2010,78.5,85.0
33,2011,79.3,85.5
33,2012,79.0,85.0
33,2013,79.4,85.4
33,2014,79.5,85.5
33,2015,79.6,85.5
33,2016,80.2,85.9
33,2017,80.1,85.5
33,2018,80.4,85.8
33,2019,80.2,85.9
33,2020,80.9,86.0
33,2021,80.1,85.8
33,2022,80.2,85.3
34,2000,75.0,82.7
34,2001,75.7,83.1
34,2002,76.2,83.3
34,2003,76.6,83.4
34,2004,77.2,84.3
34,2005,77.1,84.3
34,2006,77.9,84.5
34,2007,77.9,84.6
34,2008,78.1,84.5
34,2009,77.9,84.3
34,2010,78.2,84.8
34,2011,78.6,85.0
34,2012,79.2,85.0
34,2013,79.0,85.4
34,2014,79.3,85.5
34,2015,79.4,85.6
34,2016,79.9,85.5
34,2017,79.8,85.7
34,2018,79.9,85.6
34,2019,80.4,85.7
34,2020,80.1,85.7
34,2021,79.8,85.4
34,2022,79.9,85.1
35,2000,75.7,83.2
35,2001,75.9,83.3
35,2002,76.0,83.3
35,2003,75.9,83.5
35,2004,77.1,83.8
35,2005,77.1,84.4
35,2006,77.8,84.5
35,2007,77.8,84.6
35,2008,78.2,84.8
35,2009,78.0,84.7
35,2010,78.8,85.1
35,2011,79.2,85.3
35,2012,78.9,85.1
35,2013,79.4,85.5
35,2014,79.4,85.9
35,2015,79.6,85.5
35,2016,79.3,86.0
35,2017,80.1,85.7
35,2018,79.9,85.9
35,2019,80.4,86.2
35,2020,80.7,86.0
35,2021,79.9,86.2
35,2022,80.2,86.0
36,2000,74.9,81.8
36,2001,74.6,82.2
36,2002,75.4,82.9
36,2003,74.7,82.5
36,2004,76.0,83.7
36,2005,76.3,83.2
36,2006,75.8,84.2
36,2007,76.0,84.3
36,2008,76.0,83.3
36,2009,77.0,83.3
36,2010,76.0,83.3
36,2011,77.7,84.0
36,2012,77.2,84.1
36,2013,78.1,84.3
36,2014,78.2,84.6
36,2015,77.2,84.0
36,2016,78.0,84.4
36,2017,78.0,85.0
36,2018,77.8,84.8
36,2019,78.9,84.3
36,2020,78.2,84.7
36,2021,78.0,84.1
36,2022,77.7,83.8
37,2000,76.7,84.3
37,2001,76.3,84.3
37,2002,77.1,83.7
37,2003,76.9,83.8
37,2004,78.0,84.9
37,2005,77.6,85.2
37,2006,78.2,85.2
37,2007,78.5,85.1
37,2008,78.3,85.2
37,2009,78.7,85.0
37,2010,79.3,85.2
37,2011,79.3,85.8
37,2012,79.4,85.8
37,2013,79.6,85.4
37,2014,79.9,86.2
37,2015,79.6,85.9
37,2016,80.3,86.3
37,2017,79.6,85.6
37,2018,80.0,86.2
37,2019,80.2,85.8
37,2020,80.1,85.8
37,2021,79.5,85.7
37,2022,79.8,85.7
38,2000,76.8,83.2
38,2001,76.5,83.5
38,2002,76.9,83.3
38,2003,77.1,83.6
38,2004,78.1,84.5
38,2005,78.3,84.3
38,2006,78.7,84.8
38,2007,78.8,85.3
38,2008,79.1,84.9
38,2009,79.5,85.0
38,2010,79.8,85.4
38,2011,80.2,86.0
38,2012,79.9,85.6
38,2013,80.1,85.9
38,2014,80.8,86.3
38,2015,80.4,85.9
38,2016,81.0,86.2
38,2017,80.9,86.1
38,2018,81.4,86.0
38,2019,81.1,86.2
38,2020,80.2,85.4
38,2021,80.8,86.0
38,2022,80.7,86.0
39,2000,75.9,83.5
39,2001,76.3,83.5
39,2002,74.8,83.2
39,2003,75.9,83.0
39,2004,76.3,84.5
39,2005,76.7,84.4
39,2006,78.0,83.9
39,2007,77.4,84.9
39,2008,77.9,85.0
39,2009,77.4,84.2
39,2010,78.0,84.5
39,2011,78.0,85.3
39,2012,78.1,85.3
39,2013,78.2,85.2
39,2014,78.9,85.6
39,2015,79.0,84.9
39,2016,79.4,85.1
39,2017,79.0,85.9
39,2018,79.9,84.9
39,2019,79.3,85.6
39,2020,79.3,84.6
39,2021,79.3,84.8
39,2022,79.4,85.4
40,2000,76.3,82.7
40,2001,75.1,83.2
40,2002,76.1,83.1
40,2003,76.2,83.7
40,2004,77.7,84.2
40,2005,77.5,84.0
40,2006,77.7,84.7
40,2007,77.7,84.8
40,2008,78.1,84.3
40,2009,77.7,85.0
40,2010,77.8,84.8
40,2011,78.4,85.5
40,2012,78.7,85.4
40,2013,79.1,85.0
40,2014,79.5,85.1
40,2015,79.1,85.1
40,2016,79.6,85.5
40,2017,79.3,85.1
40,2018,79.8,85.2
40,2019,80.4,85.4
40,2020,80.0,85.5
40,2021,79.7,85.4
40,2022,80.3,85.0
41,2000,75.6,82.8
41,2001,75.3,83.3
41,2002,76.6,83.3
41,2003,75.9,82.4
41,2004,76.4,84.3
41,2005,76.7,84.4
41,2006,77.2,84.1
41,2007,77.7,84.6
41,2008,77.1,84.6
41,2009,77.4,83.9
41,2010,77.4,85.2
41,2011,78.8,85.2
41,2012,78.6,85.0
41,2013,78.5,84.8
41,2014,79.0,85.1
41,2015,79.6,85.2
41,2016,79.2,85.2
41,2017,78.6,85.5
41,2018,79.4,85.1
41,2019,79.5,85.5
41,2020,79.1,84.9
41,2021,79.2,85.5
41,2022,78.4,85.0
42,2000,75.6,83.2
42,2001,75.8,83.1
42,2002,75.9,83.4
42,2003,76.5,83.3
42,2004,76.7,84.4
42,2005,77.1,84.1
42,2006,77.7,84.9
42,2007,78.1,84.3
42,2008,78.0,84.7
42,2009,78.1,84.7
42,2010,78.0,85.2
42,2011,78.8,85.7
42,2012,78.8,84.7
42,2013,79.4,85.1
42,2014,79.7,85.7
42,2015,79.7,85.4
42,2016,79.8,85.5
42,2017,79.9,85.4
42,2018,80.6,85.7
42,2019,80.2,85.4
42,2020,79.4,84.8
42,2021,79.8,85.4
42,2022,80.0,85.5
43,2000,74.6,82.3
43,2001,75.3,82.7
43,2002,75.1,82.8
43,2003,75.3,82.9
43,2004,76.0,83.7
43,2005,75.7,83.8
43,2006,77.0,83.8
43,2007,78.0,83.2
43,2008,77.7,84.1
43,2009,76.9,84.3
43,2010,77.5,84.7
43,2011,78.0,84.7
43,2012,77.6,84.6
43,2013,77.8,85.0
43,2014,78.6,85.6
43,2015,78.6,84.5
43,2016,78.7,85.4
43,2017,79.1,85.4
43,2018,79.2,85.5
43,2019,79.2,85.8
43,2020,78.6,84.8
43,2021,79.2,85.3
43,2022,78.6,85.4
44,2000,74.9,83.4
44,2001,75.0,83.2
44,2002,75.5,83.4
44,2003,75.6,83.4
44,2004,76.4,84.2
44,2005,76.8,84.1
44,2006,76.9,84.5
44,2007,77.2,84.8
44,2008,77.6,84.8
44,2009,77.3,85.2
44,2010,78.1,85.0
44,2011,78.2,85.6
44,2012,78.6,85.1
44,2013,78.7,85.2
44,2014,79.3,85.7
44,2015,78.5,85.7
44,2016,79.3,85.5
44,2017,79.4,85.8
44,2018,79.7,85.9
44,2019,79.6,85.9
44,2020,79.6,85.8
44,2021,79.7,85.5
44,2022,79.6,85.7
45,2000,75.8,83.1
45,2001,76.2,82.9
45,2002,77.0,83.1
45,2003,76.9,82.7
45,2004,77.3,83.9
45,2005,78.0,84.2
45,2006,77.8,84.8
45,2007,78.2,84.8
45,2008,78.0,84.5
45,2009,78.0,84.3
45,2010,78.4,84.4
45,2011,78.7,85.2
45,2012,79.2,85.0
45,2013,78.9,85.1
45,2014,79.2,85.5
45,2015,79.0,84.7
45,2016,79.6,85.3
45,2017,79.7,84.9
45,2018,79.9,85.4
45,2019,79.7,85.3
45,2020,80.2,85.6
45,2021,79.3,85.6
45,2022,79.6,84.8
46,2000,75.7,83.6
46,2001,76.8,83.6
46,2002,76.9,84.1
