Année,PIB_en_euros_par_habitant,Code_INSEE_Région,Évolution_des_prix_à_la_consommation,PIB_par_inflation
2010,29500,84,1.52,29058.31
2011,30608,84,2.11,29975.52
2012,30675,84,1.95,30088.28
2013,30800,84,0.87,30534.35
2014,31079,84,0.5,30924.38
2015,31646,84,0.04,31633.35
2016,32254,84,0.18,32196.05
2017,33159,84,1.04,32817.7
2018,34210,84,1.85,33588.61
2019,35015,84,1.11,34630.6
2020,33539,84,0.48,33378.78
2021,35517,84,1.64,34943.92
2022,37271,84,5.22,35421.97
2000,22017,93,1.65,21659.62
2001,22967,93,1.63,22598.64
2002,23417,93,1.97,22964.6
2003,24064,93,2.05,23580.6
2004,25242,93,2.13,24715.56
2005,26207,93,1.85,25730.98
2006,27301,93,1.63,26863.13
2007,28088,93,1.49,27675.63
2008,28488,93,2.81,27709.37
2009,27968,93,0.09,27942.85
2010,29151,93,1.52,28714.54
2011,29629,93,2.11,29016.75
2012,30373,93,1.95,29792.05
2013,30165,93,0.87,29904.83
2014,30427,93,0.5,30275.62
2015,30913,93,0.04,30900.64
2016,31264,93,0.18,31207.83
2017,32061,93,1.04,31731.0
2018,32773,93,1.85,32177.71
2019,33446,93,1.11,33078.83
2020,31783,93,0.48,31631.17
2021,37255,93,1.64,36653.88
2022,40043,93,5.22,38056.45
2000,17738,94,1.65,17450.07
2001,18524,94,1.63,18226.9
2002,18746,94,1.97,18383.84
2003,19276,94,2.05,18888.78
2004,19937,94,2.13,19521.2
2005,20822,94,1.85,20443.79
2006,21940,94,1.63,21588.11
2007,22162,94,1.49,21836.63
2008,23909,94,2.81,23255.52
2009,24331,94,0.09,24309.12
2010,24317,94,1.52,23952.92
2011,25319,94,2.11,24795.81
2012,25426,94,1.95,24939.68
2013,25503,94,0.87,25283.04
2014,25612,94,0.5,25484.58
2015,26203,94,0.04,26192.52
2016,26260,94,0.18,26212.82
2017,26898,94,1.04,26621.14
2018,27686,94,1.85,27183.11
2019,28156,94,1.11,27846.9
2020,26161,94,0.48,26036.03
2021,29059,94,1.64,28590.12
2022,29260,94,5.22,27808.4
