annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2021_71;;20783;28615.7;82.4;954.0;15;118029;2.22
2021_72;;24698;32183.2;81.95;1150.0;1;136128;2.22
2021_73;;18606;34943.92;83.35;713.0;5;102038;2.22
2021_74;;39505;34943.92;83.65;713.0;2;207610;2.22
2021_75;;263945;60426.01;83.9;127.0;14;399063;2.22
2021_76;;59850;29817.99;81.25;927.0;18;302786;2.22
2021_77;;78646;60426.01;82.25;127.0;8;390229;2.22
2021_78;;75695;60426.01;83.95;127.0;18;386469;2.22
2021_79;;12954;30573.59;81.95;1312.0;9;85413;2.22
2021_80;;25327;28620.62;80.45;5268.0;7;135528;2.22
2021_81;;15288;29826.84;83.1;1553.0;0;84958;2.22
2021_82;;9308;29826.84;82.45;1553.0;2;63374;2.22
2021_83;;64463;36653.88;82.25;97.0;2;224276;2.22
2021_84;;31334;36653.88;82.05;97.0;2;131854;2.22
2021_85;;23576;32183.2;82.55;1150.0;2;158596;2.22
2021_86;;18524;30573.59;82.65;1312.0;9;101503;2.22
2021_87;;14912;30573.59;82.45;1312.0;0;78033;2.22
2021_88;;14011;29537.58;80.55;4180.0;7;77239;2.22
2021_89;;17314;28615.7;80.8;954.0;1;74688;2.22
2021_90;;5177;28615.7;81.55;954.0;5;32989;2.22
2021_91;;70370;60426.01;83.0;127.0;1;353229;2.22
2021_92;;115945;60426.01;84.15;127.0;8;399770;2.22
2021_93;;148023;60426.01;81.2;127.0;5;482291;2.22
2021_94;;93728;60426.01;83.45;127.0;5;359029;2.22
2021_95;;82364;60426.01;82.2;127.0;4;357476;2.22
2022_01;4;19656;35421.97;83.3;710.0;3;170644;2.22
2022_02;4;17073;29431.67;79.95;5724.0;9;127328;2.22
2022_03;4;9786;35421.97;81.6;710.0;8;66707;2.22
2022_04;4;6396;38056.45;82.15;97.0;3;34085;2.22
2022_05;4;4555;38056.45;83.55;97.0;1;28689;2.22
2022_06;4;48908;38056.45;82.65;97.0;9;232495;2.22
2022_07;4;8938;35421.97;82.45;710.0;4;70808;2.22
2022_08;4;8693;30563.58;80.9;4531.0;1;61547;2.22
2022_09;4;4955;30136.86;81.45;1638.0;0;31198;2.22
2022_10;4;11141;30563.58;81.6;4531.0;6;76193;2.22
