Département,Année,Délits_total
40,2012,16361
40,2013,16487
40,2014,16868
40,2015,16900
40,2016,16847
40,2017,16308
40,2018,16391
40,2019,16344
40,2020,15157
40,2021,16545
40,2022,13330
41,1996,11380
41,1997,12068
41,1998,12183
41,1999,11900
41,2000,12496
41,2001,13614
41,2002,14059
41,2003,12853
41,2004,11817
41,2005,12901
41,2006,13139
41,2007,12914
41,2008,13567
41,2009,13075
41,2010,13851
41,2011,13730
41,2012,13349
41,2013,14072
41,2014,13569
41,2015,14444
41,2016,14266
41,2017,14473
41,2018,13410
41,2019,13471
41,2020,10911
41,2021,12661
41,2022,8987
42,1996,42752
42,1997,42461
42,1998,41782
42,1999,40875
42,2000,43145
42,2001,41432
42,2002,40567
42,2003,38089
42,2004,37144
42,2005,36435
42,2006,36863
42,2007,33374
42,2008,36069
42,2009,35796
42,2010,34741
42,2011,34290
42,2012,32703
42,2013,34839
42,2014,36091
42,2015,37368
42,2016,37827
42,2017,37457
42,2018,38214
42,2019,38347
42,2020,33483
42,2021,36710
42,2022,26781
43,1996,5401
43,1997,5652
43,1998,5526
43,1999,5830
43,2000,6181
43,2001,6091
43,2002,6651
43,2003,6452
43,2004,6330
43,2005,5972
43,2006,6713
43,2007,5625
43,2008,6164
43,2009,5941
43,2010,6183
43,2011,5943
43,2012,5742
43,2013,6114
43,2014,6875
43,2015,6622
43,2016,7134
43,2017,7409
43,2018,7917
43,2019,8688
43,2020,7984
43,2021,8513
43,2022,5958
44,1996,65961
44,1997,61038
44,1998,64057
44,1999,67179
44,2000,67659
44,2001,83527
44,2002,82344
44,2003,80239
44,2004,76471
44,2005,76394
44,2006,74421
44,2007,71231
44,2008,72087
44,2009,70280
44,2010,71279
44,2011,69835
44,2012,73054
44,2013,79642
44,2014,75551
44,2015,79342
44,2016,81908
44,2017,84547
44,2018,86030
44,2019,89198
44,2020,77870
44,2021,84120
44,2022,60176
45,1996,32448
45,1997,33714
45,1998,36132
45,1999,37070
45,2000,37187
45,2001,42063
45,2002,42349
45,2003,40521
45,2004,39921
45,2005,36510
45,2006,37017
45,2007,34695
45,2008,32598
45,2009,32338
45,2010,31823
45,2011,32958
45,2012,31117
45,2013,33034
45,2014,32866
45,2015,32732
45,2016,34736
45,2017,33583
45,2018,32767
45,2019,31140
45,2020,29217
45,2021,32278
