Type;Code_Département;Nom_Département;E_0_19_ans;E_20_39_ans;E_40_59_ans;E_60_74_ans;E_75_et_plus;E_Total;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_et_plus;F_Total;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_et_plus;H_Total;Année;Code_Département_Num
Métropole + DOM;FMD;France métropolitaine et DOM;16916113;16558130;7925984;4713945;61824030;15709858;8498143;8395945;4274152;3019821;31866686;7678625;8417970;8162185;3651832;1694124;29957344;8031233;2003;
Métropole;FRM;France métropolitaine;16430656;15861835;7790589;4516743;59685899;15086076;8238386;8023115;4210517;2902178;30746895;7372699;8192270;7838720;3580072;1614565;28939004;7713377;2002;
DOM;DOM;Départements d'Outre-Mer;509140;388724;143247;64531;1699171;593529;267448;201721;77452;39937;878842;292284;241692;187003;65795;24594;820329;301245;2002;
Métropole + DOM;FMD;France métropolitaine et DOM;16939796;16250559;7933836;4581274;61385070;15679605;8505834;8224836;4287969;2942115;31625737;7664983;8433962;8025723;3645867;1639159;29759333;8014622;2002;
Métropole;FRM;France métropolitaine;16456501;15509841;7857741;4379796;59266572;15062693;8248820;7831063;4254654;2821404;30516766;7360825;8207681;7678778;3603087;1558392;28749806;7701868;2001;
DOM;DOM;Départements d'Outre-Mer;512079;372165;140117;62111;1674838;588366;267559;192976;75808;38491;864627;289793;244520;179189;64309;23620;810211;298573;2001;
Métropole + DOM;FMD;France métropolitaine et DOM;16968580;15882006;7997858;4441907;60941410;15651059;8516379;8024039;4330462;2859895;31381393;7650618;8452201;7857967;3667396;1582012;29560017;8000441;2001;
Métropole;FRM;France métropolitaine;16483404;15186214;7899683;4244805;58858198;15044092;8259747;7654060;4285284;2741999;30292217;7351127;8223657;7532154;3614399;1502806;28565981;7692965;2000;
DOM;DOM;Départements d'Outre-Mer;515017;356593;136481;59313;1649952;582548;267620;184457;74113;36842;850133;287101;247397;172136;62368;22471;799819;295447;2000;
Métropole + DOM;FMD;France métropolitaine et DOM;16998421;15542807;8036164;4304118;60508150;15626640;8527367;7838517;4359397;2778841;31142350;7638228;8471054;7704290;3676767;1525277;29365800;7988412;2000;
Métropole;FRM;France métropolitaine;16565356;14890414;7901639;4121296;58496613;15017908;8298912;7493206;4293320;2669619;30090468;7335411;8266444;7397208;3608319;1451677;28406145;7682497;1999;
DOM;DOM;Départements d'Outre-Mer;517197;341649;133546;56398;1626052;577262;267300;176631;72454;35140;835785;284260;249897;165018;61092;21258;790267;293002;1999;
Métropole + DOM;FMD;France métropolitaine et DOM;17082553;15232063;8035185;4177694;60122665;15595170;8566212;7669837;4365774;2704759;30926253;7619671;8516341;7562226;3669411;1472935;29196412;7975499;1999;
Métropole;FRM;France métropolitaine;16687479;14655116;7936339;3993106;58298962;15026922;8360410;7364027;4320499;2596812;29982781;7341033;8327069;7291089;3615840;1396294;28316181;7685889;1998;
DOM;DOM;Départements d'Outre-Mer;513982;330607;128741;53073;1600385;573982;264982;170402;69781;33188;821211;282858;249000;160205;58960;19885;779174;291124;1998;
Métropole + DOM;FMD;France métropolitaine et DOM;17201461;14985723;8065080;4046179;59899347;15600904;8625392;7534429;4390280;2630000;30803992;7623891;8576069;7451294;3674800;1416179;29095355;7977013;1998;
Métropole;FRM;France métropolitaine;16818685;14413667;7971476;3856448;58116018;15055742;8424923;7233562;4347372;2519611;29880271;7354803;8393762;7180105;3624104;1336837;28235747;7700939;1997;
