Code_Département;Nom_Département;0-19 ans;20-39 ans;40-59 ans;60-74 ans;75 ans et plus;Total;H_0-19 ans;H_20-39 ans;H_40-59 ans;H_60-74 ans;H_75 ans et plus;H_Total;F_0-19 ans;F_20-39 ans;F_40-59 ans;F_60-74 ans;F_75 ans et plus;F_Total;Année
France métropolitaine;;15179775;17190600;13749536;7900918;3544179;57565008;7765056;8590529;6870893;3576110;1196855;27999443;7414719;8600071;6878643;4324808;2347324;29565565;1994
DOM;;564725;493888;287521;114596;44339;1505069;286275;241204;139917;52345;16216;735957;278450;252684;147604;62251;28123;769112;1994
France métropolitaine et DOM;;15744500;17684488;14037057;8015514;3588518;59070077;8051331;8831733;7010810;3628455;1213071;28735400;7693169;8852755;7026247;4387059;2375447;30334677;1994
France métropolitaine;;15330473;17188587;13542190;7704985;3602926;57369161;7842409;8595657;6771175;3487408;1218796;27915445;7488064;8592930;6771015;4217577;2384130;29453716;1993
DOM;;562518;489449;276851;111456;42567;1482841;284989;239686;134905;50902;15521;726003;277529;249763;141946;60554;27046;756838;1993
France métropolitaine et DOM;;15892991;17678036;13819041;7816441;3645493;58852002;8127398;8835343;6906080;3538310;1234317;28641448;7765593;8842693;6912961;4278131;2411176;30210554;1993
France métropolitaine;;15473515;17163472;13342685;7446661;3684200;57110533;7915208;8585787;6672423;3370112;1251591;27795121;7558307;8577685;6670262;4076549;2432609;29315412;1992
DOM;;560010;484523;266604;108652;40915;1460704;283722;237787;130019;49623;14893;716044;276288;246736;136585;59029;26022;744660;1992
France métropolitaine et DOM;;16033525;17647995;13609289;7555313;3725115;58571237;8198930;8823574;6802442;3419735;1266484;28511165;7834595;8824421;6806847;4135578;2458631;30060072;1992
France métropolitaine;;15605455;17126616;13153847;7169783;3784960;56840661;7981366;8572187;6576222;3244929;1293652;27668356;7624089;8554429;6577625;3924854;2491308;29172305;1991
DOM;;557470;479418;257167;106142;39277;1439474;282422;235844;125576;48355;14312;706509;275048;243574;131591;57787;24965;732965;1991
France métropolitaine et DOM;;16162925;17606034;13411014;7275925;3824237;58280135;8263788;8808031;6701798;3293284;1307964;28374865;7899137;8798003;6709216;3982641;2516273;29905270;1991
France métropolitaine;;15719647;17153178;12940589;6925168;3838418;56577000;8039675;8591227;6464716;3130994;1317388;27544000;7679972;8561951;6475873;3794174;2521030;29033000;1990
DOM;;545774;479333;252001;105286;39035;1421429;276467;236496;123248;48071;14248;698530;269307;242837;128753;57215;24787;722899;1990
